,Unnamed: 0,Smiles,Standard Value,Activity
0,542,CC[C@@H]1CN2C(=O)N(C)c3nc(-c4cc(Cl)cc(Cl)c4Cl)[nH]c3C2=N1,30000.0,0
1,1584,Cn1nc(C(F)(F)F)c(CN2CCN(c3nc(N)n4nc(-c5ccco5)nc4n3)CC2)c1Cl,28000.0,0
2,1966,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,27600.0,0
3,2323,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC4(O)CCCC4)nc32)[C@H](O)[C@@H]1O,26466.0,0
4,1653,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,25500.0,0
5,60,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CCCCc4ccccc4)nc32)[C@H](O)[C@@H]1O,24057.0,0
6,244,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#C[C@H](C)O)nc32)[C@H](O)[C@@H]1O,23800.0,0
7,326,Cn1c(=O)c2c(ncn2CCN)n(C)c1=O,23500.0,0
8,2084,Cn1c(=O)c2c(ncn2CCN)n(C)c1=O,23500.0,0
9,2536,Cn1cnc2c1c(=O)n(CC(=O)O)c(=O)n2C,23500.0,0
10,522,CC(=O)OCCn1cnc2c1c(=O)n(C)c(=O)n2C,23200.0,0
11,2081,Cn1cnc2c1c(=O)n(CC#N)c(=O)n2C,21600.0,0
12,135,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CCc4ccccc4)nc32)[C@H](O)[C@@H]1O,21465.0,0
13,2110,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,21400.0,0
14,891,OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)ncnc32)[C@H](O)[C@@H]1O,21200.0,0
15,964,CC(=O)Cn1c(=O)c2c(ncn2C)n(C)c1=O,20800.0,0
16,695,Cn1c(=O)c2c(ncn2C)n(C)c1=O,20500.0,0
17,1017,Cn1c(=O)c2c(ncn2C)n(C)c1=O,20500.0,0
18,3017,Cn1c(=O)c2c(ncn2C)n(C)c1=O,20500.0,0
19,2275,OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc32)[C@H](O)[C@@H]1O,20400.0,0
20,317,COc1cccc2cc(C(=O)NC3CCCCC3)c(=N)oc12,19952.62,0
21,2540,Cn1c(=O)c2c(ncn2Cc2ccccc2)n(C)c1=O,19400.0,0
22,31,CCC(C)n1cnc2c(N)ncnc21,19000.0,0
23,35,O[C@@H]1[C@H](O)[C@@H](O)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc21,18800.0,0
24,1046,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc32)[C@H](O)[C@@H]1O,18800.0,0
25,2298,Cn1c(-c2ccc(O)cc2)nc2c(NC3CCCC3)ncnc21,17800.0,0
26,512,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,17300.0,0
27,1862,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,17300.0,0
28,840,C#CCn1c(=O)c2c(nc3n2CCCN3C2CCCCC2)n(C)c1=O,17100.0,0
29,1634,Nc1ncnc2c1ncn2C1CCC1,17000.0,0
30,637,CC(C)n1cnc2c(N)ncnc21,16000.0,0
31,1661,Cn1c(=O)c2nc(-c3ccc([N+](=O)[O-])cc3[N+](=O)[O-])[nH]c2n(C)c1=O,15400.0,0
32,384,Cn1c(=O)c2c(ncn2CCCCCl)n(C)c1=O,15000.0,0
33,1801,Cn1c(=O)c2c(ncn2CC#N)n(C)c1=O,14500.0,0
34,1835,COCn1c(=O)c2c(ncn2C)n(C)c1=O,14000.0,0
35,1068,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,13900.0,0
36,1900,Cn1c(=O)c2c(nc3n2CCCN3CCc2ccccn2)n(C)c1=O,13400.0,0
37,240,Cn1c(-c2ccccc2)nc2c(NC3CCOC3)ncnc21,13300.0,0
38,2608,CCOC(=O)c1cnc(NCc2ccc(OC)c(OC)c2)n2nc(-c3ccco3)nc12,13300.0,0
39,1524,Cn1c(=O)c2c(nc3n2CCCN3CC2CC2)n(C)c1=O,12500.0,0
40,467,C[C@@H](Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12)c1ccccc1,12200.0,0
41,1677,OC[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(I)c4)ncnc31)[C@H](O)[C@@H]2O,12100.0,0
42,2255,CNC(=S)OC[C@H]1O[C@@H](n2cnc3c(N[C@@H]4CCOC4)nc(Cl)nc32)[C@](C)(O)[C@@H]1O,12100.0,0
43,3057,CCn1c(-c2ccccc2)nc2c(NC3CCOC3)ncnc21,11500.0,0
44,3066,Cn1cc2c(nc(NCCCCNC(=O)OC(C)(C)C)n3nc(-c4ccco4)nc23)n1,11500.0,0
45,1678,C=CCn1c(=O)c2c(nc(-c3ccccc3)n2C)n(C)c1=O,11400.0,0
46,2239,COc1ccc2[nH]c(=O)c(S(C)(=O)=O)c(CCc3ccccc3)c2c1,11310.0,0
47,520,Cn1c(=O)c2nc(-c3ccccc3C(=O)O)[nH]c2n(C)c1=O,11100.0,0
48,1235,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O,11000.0,0
49,69,Cn1c(=O)c2c(ncn2C)n(C)c1=O,10400.0,0
50,1354,Cn1c(=O)c2c(ncn2C)n(C)c1=O,10400.0,0
51,1654,Cn1c(=O)c2c(ncn2C)n(C)c1=O,10400.0,0
52,2535,Cn1c(=O)n(Cc2ccccc2)c(=O)c2[nH]cnc21,10200.0,0
53,580,Cn1c(=O)c2c(nc3n2CCCN3CCc2ccccc2)n(C)c1=O,10000.0,0
54,681,CNc1ncc(C(=O)OCc2cccc(Cl)c2)c2nc(-c3ccco3)nn12,10000.0,0
55,832,Cn1c(=O)c2c(nc3n2CCCN3c2ccc(F)cc2)n(C)c1=O,10000.0,0
56,837,CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,10000.0,0
57,992,COc1ccc(N2CCOCC2)c2sc(NC(=O)C(C)(C)Oc3ccc(F)cc3)nc12,10000.0,0
58,1118,Cn1c(=O)c2c(nc3n2CCCN3CCc2c[nH]c3ccccc23)n(C)c1=O,10000.0,0
59,1225,Cn1cc2c(nc(NCC3CCC(CNC(=O)OC(C)(C)C)CC3)n3nc(-c4ccco4)nc23)n1,10000.0,0
60,1337,Cn1c(=O)c2c(nc3n2CCCN3CCOc2ccc(Cl)cc2)n(C)c1=O,10000.0,0
61,1527,COc1cccc2cc(C(=O)NCCCNC(=O)c3cc4cccc(OC)c4oc3=N)c(=N)oc12,10000.0,0
62,2001,CCOC(=O)c1cnc(NCc2ccc(C)cc2)n2nc(-c3ccco3)nc12,10000.0,0
63,2068,COc1ccccc1NC(=O)Nc1nc(-c2cccnc2)nc2ccccc12,10000.0,0
64,2345,Cn1c(=O)c2c(nc3n2CCCN3c2ccc(F)cc2)n(C)c1=O,10000.0,0
65,2569,CNc1ncc(C(=O)NC(c2ccccc2)c2ccccc2)c2nc(-c3ccco3)nn12,10000.0,0
66,2623,CCOC(=O)c1cnc(NC(C)C)n2nc(-c3ccco3)nc12,10000.0,0
67,2638,Cn1c(=O)c2c(ncn2C)n(C)c1=O,10000.0,0
68,2951,CC(C)(C)Cn1cc2c(Cl)nc(NC(=O)c3ccccc3)nc2n1,10000.0,0
69,3104,COc1cccc2cc(C(=O)NCCCN3CCN(CCCNC(=O)c4cc5cccc(OC)c5oc4=N)CC3)c(=N)oc12,10000.0,0
70,2740,Cc1cnc(-c2nc3c(-c4ccc(=O)n(C)c4)cnc(N)n3n2)s1,9919.0,0
71,365,CC(C)CCn1c(=O)c2nc(-c3ccccc3)[nH]c2n(CC(C)C)c1=O,9890.0,0
72,1579,CCOC(=O)C(CO)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,9844.0,0
73,466,COc1ccc(CNc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)cc1,9840.0,0
74,1517,CC(C)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,9720.0,0
75,1473,Cn1cc2c(nc(NCC3CCCCC3)n3nc(-c4ccco4)nc23)n1,9650.0,0
76,1013,C=CCn1cnc2c1c(=O)n(C)c(=O)n2C,9490.0,0
77,2082,C#CCn1c(=O)n(C)c(=O)c2c1ncn2C,9480.0,0
78,1800,C#CCn1cnc2c1c(=O)n(C)c(=O)n2C,9460.0,0
79,126,Cn1cc2c(nc(NCCCO)n3nc(-c4ccco4)nc23)n1,9300.0,0
80,2647,CCCn1c(-c2ccco2)nc2c(NCCc3ccccc3)ncnc21,9280.0,0
81,3211,CCCn1cnc2c(N)nc(NCCc3ccccc3)nc21,9250.0,0
82,2818,O=C(Nc1nc(-c2ccccc2)c(C(=O)c2ccccn2)s1)c1ccco1,9110.0,0
83,2887,CCCn1c(-c2ccccc2)nc2c(NC3CCOC3)ncnc21,9080.0,0
84,210,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9070.0,0
85,633,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9070.0,0
86,1481,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9070.0,0
87,1681,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9070.0,0
88,1841,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9070.0,0
89,1920,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9070.0,0
90,2979,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9070.0,0
91,3037,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9070.0,0
92,3179,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9070.0,0
93,3233,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9070.0,0
94,2299,CCn1c(-c2ccccc2)nc2c(NC3CCCCC3)ncnc21,9020.0,0
95,1351,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9000.0,0
96,843,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC(O)C4CCCCC4)nc32)[C@H](O)[C@@H]1O,8970.0,0
97,2328,CC(=O)OCCn1c(=O)c2c(ncn2C)n(C)c1=O,8710.0,0
98,1971,CC(C)(C)c1cc(C(=O)NCCc2ccc(Nc3ncnc4c3ncn4[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)cc2)cc(C(C)(C)C)c1O,8580.0,0
99,880,O=C(Nc1ccccc1)c1coc2ccccc2c1=O,8510.0,0
100,3128,Cn1c(-c2ccccc2)nc2c(NC3CCCC3)ncnc21,8510.0,0
101,1163,CONc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,8500.0,0
102,134,CCCCC[C@H](O)C#Cc1nc(NCC)c2ncn([C@@H]3O[C@H](C(=O)NCC)[C@@H](O)[C@H]3O)c2n1,8473.0,0
103,705,CNC(=O)OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc32)[C@](C)(O)[C@@H]1O,8350.0,0
104,1483,CCCn1c(-c2ccco2)nc2c(N)nc(NCCCc3ccccc3)nc21,8240.0,0
105,516,Cn1c(=O)c2c(nc(/C=C/c3cccc(Cl)c3)n2C)n(C)c1=O,8200.0,0
106,2707,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,8200.0,0
107,214,CCn1cnc2c(NCCc3ccccc3)ncnc21,8130.0,0
108,2607,CN(C)c1nc(N)nc(-c2sc(NC(=O)c3ccco3)nc2-c2ccccc2)n1,8000.0,0
109,3048,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC(O)C4CCCC4)nc32)[C@H](O)[C@@H]1O,7920.0,0
110,77,Cn1c(=O)c2[nH]cnc2n(C)c1=O,7850.0,0
111,2713,Cn1c(-c2ccccc2)nc2c(N)ncnc21,7790.0,0
112,1706,CCCCCC(C)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,7660.0,0
113,561,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC(O)c4ccccc4[N+](=O)[O-])nc32)[C@H](O)[C@@H]1O,7620.0,0
114,55,CCCCCCn1c(=O)c2nc[nH]c2n(CCCCCC)c1=O,7580.0,0
115,1742,Cc1nn(Cc2ccccc2)c(=O)c2ncn3nc(-c4ccccc4)cc3c12,7560.0,0
116,291,Cn1cc2c(nc(NCCOc3ccccc3)n3nc(-c4ccco4)nc23)n1,7500.0,0
117,1248,CCCn1c(Br)nc2c(NCc3ccccc3)ncnc21,7490.0,0
118,1704,Cn1cc2c(nc(NCCO)n3nc(-c4ccco4)nc23)n1,7470.0,0
119,2520,CCCn1c(=O)c2[nH]c(C3CCCC3)nc2n(CCC)c1=O,7324.0,0
120,2103,Cn1c(=O)c2c(nc3n2CCCN3CCc2ccc(O)cc2)n(C)c1=O,7200.0,0
121,1981,CCOC(=O)c1cnc(NCC(C)C)n2nc(-c3ccco3)nc12,7150.0,0
122,2036,Nc1ncnc2c1nc(Br)n2CC(O)CO,7100.0,0
123,3113,O[C@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@@H]1CCCCN1,7072.0,0
124,2020,Cn1c(=O)c2[nH]cnc2n(C)c1=O,7059.0,0
125,2381,Cn1c(=O)c2nc(-c3ccc([N+](=O)[O-])cc3)[nH]c2n(C)c1=O,6940.0,0
126,1753,Cc1c(S(C)(=O)=O)c(=O)[nH]c2ccc(OCC(=O)NCc3ccc(Cl)c(Cl)c3)cc12,6670.0,0
127,147,CCCCc1nc2[nH]cnc2c2nc(-c3ccc(N(C)C)cc3)nn12,6660.0,0
128,2893,CC1=C(C(=O)OCc2ccccc2)C(c2ccoc2)NC(=O)N1,6650.0,0
129,1570,Cn1cc2c(nc(NC3CCCCCC3)n3nc(-c4ccco4)nc23)n1,6590.0,0
130,3082,CCOC(=O)C1=C(C)N(C)C(=O)NC1c1ccco1,6544.0,0
131,3101,CCOC(=O)C1=C(C)N(C)C(=O)NC1c1ccco1,6544.0,0
132,1837,CCCn1c(=O)c2nc(-c3ccc(Cl)cc3OC)[nH]c2n(CCC)c1=O,6530.0,0
133,2010,CCCn1c(=O)[nH]c(=O)c2nc[nH]c21,6400.0,0
134,743,COc1ccc(NC(=O)c2coc3ccccc3c2=O)cc1OC,6390.0,0
135,293,Cn1cc2c(nc(NC3CCCCC3)n3nc(-c4ccco4)nc23)n1,6320.0,0
136,2666,CCCn1c(Br)nc2c(N)nc(NCCCc3ccccc3)nc21,6300.0,0
137,2277,Cn1c(-c2ccco2)nc2c(NC(=O)Nc3ccccc3)ncnc21,6250.0,0
138,601,CCOC(=O)C1=C(C)N=C(S)NC1c1cccs1,6247.0,0
139,1020,CC(C)CCn1c(=O)c2nc[nH]c2n(CC(C)C)c1=O,6240.0,0
140,1348,CCOC(=O)c1cnc(NNc2ccccc2)n2nc(-c3ccco3)nc12,6060.0,0
141,744,Cc1cccc(-c2nc3c(NC4CCCC4)ncnc3n2C)c1,6030.0,0
142,2155,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)c4ccc(I)cc4)cc3)[nH]c2n(CCC)c1=O,5888.44,0
143,2,Nc1nc(C(=O)NCc2cccnc2)cc(-c2ccco2)n1,5875.0,0
144,562,CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5ccccc5Cl)n4)cc3)[nH]c2n(CCC)c1=O,5830.0,0
145,425,COc1ccc(NC(=O)c2coc3ccccc3c2=O)cc1O,5820.0,0
146,2201,CCn1c(-c2ccccc2)nc2c(NC3CCCC3)ncnc21,5790.0,0
147,1604,Cn1c(=O)c2c(ncn2CCCCl)n(C)c1=O,5620.0,0
148,139,CCCCn1c(Br)nc2c(N)ncnc21,5600.0,0
149,1830,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC4(O)CCCCC4)nc32)[C@H](O)[C@@H]1O,5533.0,0
150,1353,Cn1c(=O)c2nc(-c3cccc(C(=O)O)c3)[nH]c2n(C)c1=O,5530.0,0
151,1974,Nc1ncc(C(=O)NCCc2ccccc2)c2nc(-c3ccco3)nn12,5320.0,0
152,3056,CCCn1c(-c2ccccc2)nc2c(NC3CCCCC3)ncnc21,5310.0,0
153,1705,C[C@H](Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12)c1ccccc1,5290.0,0
154,2501,C[C@H](Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12)c1ccccc1,5290.0,0
155,2293,CC(CCc1ccccc1)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,5260.0,0
156,174,Cc1c(S(C)(=O)=O)c(=O)[nH]c2ccc(OCC(=O)NCc3ccc(Cl)c(Cl)c3)cc12,5251.0,0
157,1117,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,5180.0,0
158,1658,CCCn1c(=O)c2nc(-c3ccc(OCc4nc(-c5ccc(Cl)cc5)no4)cc3)[nH]c2n(CCC)c1=O,5170.0,0
159,2372,CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCC(F)(F)F)c2c1)c1ccccc1,5155.0,0
160,757,Nc1ncnc2c1nc(Br)n2CCCO,5100.0,0
161,2468,Nc1ncnc2c1nc(Br)n2CCCO,5100.0,0
162,392,Cn1c(-c2ccco2)nc2c(NC(=O)Cc3ccc(OCc4ccccc4)cc3)ncnc21,5070.0,0
163,1167,OC[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O,5010.0,0
164,250,COc1ccc(N2CCOCC2)c2sc(NC(=O)C(C)(C)Oc3ccc(F)c(F)c3)nc12,5000.0,0
165,834,COCCOc1ccc(N2CCN(CCn3c(=O)n(C)c4c3nc(N)n3nc(-c5nccs5)nc43)CC2)cc1F,5000.0,0
166,3079,COc1ccc(N2CCOCC2)c2sc(NC(=O)N3CCC(C)(O)CC3)nc12,5000.0,0
167,2875,OC[C@H]1O[C@@H](n2cnc3c(NC4CC5CCC4C5)ncnc32)[C@H](O)[C@@H]1O,4930.0,0
168,387,CC(C)n1c(=O)n(C)c(=O)c2[nH]cnc21,4890.0,0
169,284,CNC(=O)c1cnc(NC(=O)Cc2ccccc2)n2nc(-c3ccco3)nc12,4840.0,0
170,1832,O[C@@H]1[C@H](O)[C@@H](CCl)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc21,4830.0,0
171,1105,CCOC(=O)c1cnc(NCc2ccc(OC)cc2)n2nc(-c3ccco3)nc12,4810.0,0
172,2678,CC[C@@H](C)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,4810.0,0
173,1125,CCCn1c(=O)c2nc(-c3cnn(Cc4cc(F)ccc4Cl)c3)[nH]c2n(CCC)c1=O,4800.0,0
174,1152,CCCn1c(=O)[nH]c(=O)c2nc[nH]c21,4730.0,0
175,2463,CCCn1c(=O)[nH]c(=O)c2nc[nH]c21,4730.0,0
176,3122,CCCn1c(=O)[nH]c(=O)c2nc[nH]c21,4730.0,0
177,1350,CCCn1c(=O)[nH]c(=O)c2nc[nH]c21,4700.0,0
178,1898,Cc1nn(Cc2ccccc2)c(=O)c2ncn3nc(-c4ccsc4)cc3c12,4650.0,0
179,1975,CCOC(=O)c1cnc(NC2CCCC2)n2nc(-c3ccco3)nc12,4620.0,0
180,215,CCCn1c(-c2ccco2)nc2c(N)nc(NCc3ccccc3)nc21,4610.0,0
181,32,C=CCn1c(Br)nc2c(N)ncnc21,4600.0,0
182,3074,CC1=C(C(=O)OCc2ccccc2)C(c2ccsc2)NC(=O)N1C,4521.0,0
183,766,CCCn1c(=O)c2nc(-c3ccc(OCc4nc(-c5ccc(C#N)cc5)no4)cc3)[nH]c2n(CCC)c1=O,4520.0,0
184,915,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N[C@@H]3CCOC3)nc(Cl)nc21,4470.0,0
185,557,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(N[C@@H]3CCOC3)ncnc21,4440.0,0
186,2508,CC1=C(C(=O)OC(C)(C)C)C(c2ccoc2)NC(=O)N1,4436.0,0
187,1576,Nc1nc2nn(CCc3cccc4ccccc34)cc2c2nc(-c3ccco3)nn12,4294.0,0
188,828,CCOC(=O)C1=C(C)N(C)C(=O)NC1c1ccoc1,4259.0,0
189,3073,CCOC(=O)C1=C(C)N(C)C(=O)NC1c1ccoc1,4259.0,0
190,1231,CC(C)Cn1c(Br)nc2c(N)ncnc21,4200.0,0
191,2443,CC(C)Cn1c(Br)nc2c(N)ncnc21,4200.0,0
192,1480,C#CCn1c(=O)c2c(ncn2C)n(C)c1=O,4130.0,0
193,2471,C#CCn1c(=O)c2c(ncn2C)n(C)c1=O,4130.0,0
194,2822,C#CCn1c(=O)c2c(ncn2C)n(C)c1=O,4130.0,0
195,755,Nc1ncnc2c1nc(Br)n2C1CCC1,4100.0,0
196,204,OC1CCC(Nc2nc(-c3ccccc3)nc3[nH]ccc23)CC1,3981.0,0
197,130,CCCCCNc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,3980.0,0
198,3222,Cc1ccc(-c2nc(N)nc3c2nnn3Cc2cccc(CO[C@H]3CCOC3)n2)o1,3975.0,0
199,2198,C#CCn1c(=O)c2c(nc3n2CCCN3C2CCC2)n(C)c1=O,3970.0,0
200,1134,Cc1ccc(CNc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)cc1,3940.0,0
201,127,COc1ccc(CCNc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)cc1OC,3880.0,0
202,716,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC(O)c4ccccc4OC)nc32)[C@H](O)[C@@H]1O,3862.0,0
203,295,CCC(C)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,3860.0,0
204,608,C#CCn1c(=O)c2c(nc3n2CCCN3c2cccc(Br)c2)n(C)c1=O,3860.0,0
205,2888,Cn1c(-c2ccccc2)nc2c(NC3CCC3)ncnc21,3730.0,0
206,259,CNc1ncc(C(=O)OC(C)c2ccccc2)c2nc(-c3ccco3)nn12,3720.0,0
207,853,CCCn1c(=O)c2nc(-c3cc(C)nn3C)[nH]c2n(CCC)c1=O,3700.0,0
208,2871,CC[C@@H]1CN2C(=O)N(C)c3nc(-c4ccccc4)[nH]c3C2=N1,3700.0,0
209,164,CC(=O)c1nc(NC(=O)C2CC2)ccc1-c1ccncc1,3668.0,0
210,792,CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5ccc(Cl)cc5)n4)cc3)[nH]c2n(CCC)c1=O,3660.0,0
211,1699,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N)nc(N[C@H](CO)Cc5ccc([N+](=O)[O-])cc5)nc43)[C@H](O)[C@@H]2O)n1,3660.0,0
