,Smiles,Standard Value
542,CC[C@@H]1CN2C(=O)N(C)c3nc(-c4cc(Cl)cc(Cl)c4Cl)[nH]c3C2=N1,30000
1584,Cn1nc(C(F)(F)F)c(CN2CCN(c3nc(N)n4nc(-c5ccco5)nc4n3)CC2)c1Cl,28000
1966,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,27600
2323,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC4(O)CCCC4)nc32)[C@H](O)[C@@H]1O,26466
1653,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,25500
60,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CCCCc4ccccc4)nc32)[C@H](O)[C@@H]1O,24057
244,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#C[C@H](C)O)nc32)[C@H](O)[C@@H]1O,23800
326,Cn1c(=O)c2c(ncn2CCN)n(C)c1=O,23500
2084,Cn1c(=O)c2c(ncn2CCN)n(C)c1=O,23500
2536,Cn1cnc2c1c(=O)n(CC(=O)O)c(=O)n2C,23500
522,CC(=O)OCCn1cnc2c1c(=O)n(C)c(=O)n2C,23200
2081,Cn1cnc2c1c(=O)n(CC#N)c(=O)n2C,21600
135,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CCc4ccccc4)nc32)[C@H](O)[C@@H]1O,21465
2110,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,21400
891,OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)ncnc32)[C@H](O)[C@@H]1O,21200
964,CC(=O)Cn1c(=O)c2c(ncn2C)n(C)c1=O,20800
695,Cn1c(=O)c2c(ncn2C)n(C)c1=O,20500
1017,Cn1c(=O)c2c(ncn2C)n(C)c1=O,20500
3017,Cn1c(=O)c2c(ncn2C)n(C)c1=O,20500
2275,OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc32)[C@H](O)[C@@H]1O,20400
317,COc1cccc2cc(C(=O)NC3CCCCC3)c(=N)oc12,19952.62
2540,Cn1c(=O)c2c(ncn2Cc2ccccc2)n(C)c1=O,19400
31,CCC(C)n1cnc2c(N)ncnc21,19000
35,O[C@@H]1[C@H](O)[C@@H](O)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc21,18800
1046,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc32)[C@H](O)[C@@H]1O,18800
2298,Cn1c(-c2ccc(O)cc2)nc2c(NC3CCCC3)ncnc21,17800
512,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,17300
1862,Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,17300
840,C#CCn1c(=O)c2c(nc3n2CCCN3C2CCCCC2)n(C)c1=O,17100
1634,Nc1ncnc2c1ncn2C1CCC1,17000
637,CC(C)n1cnc2c(N)ncnc21,16000
1661,Cn1c(=O)c2nc(-c3ccc([N+](=O)[O-])cc3[N+](=O)[O-])[nH]c2n(C)c1=O,15400
384,Cn1c(=O)c2c(ncn2CCCCCl)n(C)c1=O,15000
1801,Cn1c(=O)c2c(ncn2CC#N)n(C)c1=O,14500
1835,COCn1c(=O)c2c(ncn2C)n(C)c1=O,14000
1068,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,13900
1900,Cn1c(=O)c2c(nc3n2CCCN3CCc2ccccn2)n(C)c1=O,13400
240,Cn1c(-c2ccccc2)nc2c(NC3CCOC3)ncnc21,13300
2608,CCOC(=O)c1cnc(NCc2ccc(OC)c(OC)c2)n2nc(-c3ccco3)nc12,13300
1524,Cn1c(=O)c2c(nc3n2CCCN3CC2CC2)n(C)c1=O,12500
467,C[C@@H](Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12)c1ccccc1,12200
1677,OC[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(I)c4)ncnc31)[C@H](O)[C@@H]2O,12100
2255,CNC(=S)OC[C@H]1O[C@@H](n2cnc3c(N[C@@H]4CCOC4)nc(Cl)nc32)[C@](C)(O)[C@@H]1O,12100
3057,CCn1c(-c2ccccc2)nc2c(NC3CCOC3)ncnc21,11500
3066,Cn1cc2c(nc(NCCCCNC(=O)OC(C)(C)C)n3nc(-c4ccco4)nc23)n1,11500
1678,C=CCn1c(=O)c2c(nc(-c3ccccc3)n2C)n(C)c1=O,11400
2239,COc1ccc2[nH]c(=O)c(S(C)(=O)=O)c(CCc3ccccc3)c2c1,11310
520,Cn1c(=O)c2nc(-c3ccccc3C(=O)O)[nH]c2n(C)c1=O,11100
1235,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O,11000
69,Cn1c(=O)c2c(ncn2C)n(C)c1=O,10400
1354,Cn1c(=O)c2c(ncn2C)n(C)c1=O,10400
1654,Cn1c(=O)c2c(ncn2C)n(C)c1=O,10400
2535,Cn1c(=O)n(Cc2ccccc2)c(=O)c2[nH]cnc21,10200
580,Cn1c(=O)c2c(nc3n2CCCN3CCc2ccccc2)n(C)c1=O,10000
681,CNc1ncc(C(=O)OCc2cccc(Cl)c2)c2nc(-c3ccco3)nn12,10000
832,Cn1c(=O)c2c(nc3n2CCCN3c2ccc(F)cc2)n(C)c1=O,10000
837,CCn1c(=O)c2c(nc(/C=C/c3ccc(OC)c(OC)c3)n2C)n(CC)c1=O,10000
992,COc1ccc(N2CCOCC2)c2sc(NC(=O)C(C)(C)Oc3ccc(F)cc3)nc12,10000
1118,Cn1c(=O)c2c(nc3n2CCCN3CCc2c[nH]c3ccccc23)n(C)c1=O,10000
1225,Cn1cc2c(nc(NCC3CCC(CNC(=O)OC(C)(C)C)CC3)n3nc(-c4ccco4)nc23)n1,10000
1337,Cn1c(=O)c2c(nc3n2CCCN3CCOc2ccc(Cl)cc2)n(C)c1=O,10000
1527,COc1cccc2cc(C(=O)NCCCNC(=O)c3cc4cccc(OC)c4oc3=N)c(=N)oc12,10000
2001,CCOC(=O)c1cnc(NCc2ccc(C)cc2)n2nc(-c3ccco3)nc12,10000
2068,COc1ccccc1NC(=O)Nc1nc(-c2cccnc2)nc2ccccc12,10000
2345,Cn1c(=O)c2c(nc3n2CCCN3c2ccc(F)cc2)n(C)c1=O,10000
2569,CNc1ncc(C(=O)NC(c2ccccc2)c2ccccc2)c2nc(-c3ccco3)nn12,10000
2623,CCOC(=O)c1cnc(NC(C)C)n2nc(-c3ccco3)nc12,10000
2638,Cn1c(=O)c2c(ncn2C)n(C)c1=O,10000
2951,CC(C)(C)Cn1cc2c(Cl)nc(NC(=O)c3ccccc3)nc2n1,10000
3104,COc1cccc2cc(C(=O)NCCCN3CCN(CCCNC(=O)c4cc5cccc(OC)c5oc4=N)CC3)c(=N)oc12,10000
2740,Cc1cnc(-c2nc3c(-c4ccc(=O)n(C)c4)cnc(N)n3n2)s1,9919
365,CC(C)CCn1c(=O)c2nc(-c3ccccc3)[nH]c2n(CC(C)C)c1=O,9890
1579,CCOC(=O)C(CO)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,9844
466,COc1ccc(CNc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)cc1,9840
1517,CC(C)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,9720
1473,Cn1cc2c(nc(NCC3CCCCC3)n3nc(-c4ccco4)nc23)n1,9650
1013,C=CCn1cnc2c1c(=O)n(C)c(=O)n2C,9490
2082,C#CCn1c(=O)n(C)c(=O)c2c1ncn2C,9480
1800,C#CCn1cnc2c1c(=O)n(C)c(=O)n2C,9460
126,Cn1cc2c(nc(NCCCO)n3nc(-c4ccco4)nc23)n1,9300
2647,CCCn1c(-c2ccco2)nc2c(NCCc3ccccc3)ncnc21,9280
3211,CCCn1cnc2c(N)nc(NCCc3ccccc3)nc21,9250
2818,O=C(Nc1nc(-c2ccccc2)c(C(=O)c2ccccn2)s1)c1ccco1,9110
2887,CCCn1c(-c2ccccc2)nc2c(NC3CCOC3)ncnc21,9080
210,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9070
633,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9070
1481,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9070
1681,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9070
1841,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9070
1920,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9070
2979,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9070
3037,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9070
3179,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9070
3233,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9070
2299,CCn1c(-c2ccccc2)nc2c(NC3CCCCC3)ncnc21,9020
1351,Cn1c(=O)c2[nH]cnc2n(C)c1=O,9000
843,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC(O)C4CCCCC4)nc32)[C@H](O)[C@@H]1O,8970
2328,CC(=O)OCCn1c(=O)c2c(ncn2C)n(C)c1=O,8710
