,Unnamed: 0.1,Unnamed: 0,Smiles,Standard Value,Activity
1617,1617,2286,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12,16.4,1
359,359,3081,CC1=C(C(=O)OC(C)C)C(c2ccoc2)NC(=O)N1,1486.0,0
53,53,580,Cn1c(=O)c2c(nc3n2CCCN3CCc2ccccc2)n(C)c1=O,10000.0,0
654,654,2417,Cn1c(=O)c(S(C)(=O)=O)c(CCc2ccccc2)c2cc(OCC(=O)NCc3ccccc3)ccc21,352.0,0
2003,2003,2560,CCCn1c(=O)c2[nH]c(-c3cnn(CC4CC(=O)N(c5ccc(F)cc5)C4)c3)nc2n(CC)c1=O,4.0,1
1839,1839,1621,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(Cl)cc4)cc3)[nH]c2n(CCC)c1=O,7.943,1
1913,1913,1881,CCCn1c(=O)c2[nH]c(-c3ccc(COC(=O)Nc4cc[nH]n4)cc3)cc2n(CCC)c1=O,5.9,1
1981,1981,1268,CCCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)N4CCN(c5ccc(O)cc5)CC4)cc3)[nH]c2c1=O,4.3,1
813,813,1955,CSCCn1c(=O)c2[nH]c(Cc3c(F)cccc3F)nc2n(Cc2ccco2)c1=O,199.53,0
1957,1957,2590,Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12,5.0,1
1350,1350,189,CCCn1c(=O)c2[nH]c(-c3cc(OCc4nc5cc(OC)ccc5[nH]4)no3)nc2n(CCC)c1=O,35.0,1
1862,1862,2661,CCCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)N4CCN(c5ccccc5)C(C)C4)cc3)[nH]c2c1=O,7.15,1
2039,2039,2160,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(F)cc4)cc3)cc2n(CCC)c1=O,3.311,1
2140,2140,269,CC(Oc1ccc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1)C(=O)Nc1ccc(Br)cc1,1.549,1
1622,1622,421,CCCn1c(=O)c2nc(-c3ccc(OCC(=O)Nc4ccc(C(=O)O)cc4)cc3)[nH]c2n(CCC)c1=O,16.1,1
998,998,3265,Nc1nc(C(=O)NCc2ccccn2)cn2c1nc1ccccc12,96.7,1
1640,1640,531,CCCn1c(=O)c2nc(-c3cc(OCC(=O)N4CCN(c5ccccc5)CC4)nn3C)[nH]c2n(CCC)c1=O,15.0,1
1985,1985,2163,Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)N4CCN(c5ccc(C(F)(F)F)cc5)CC4)cc3)cc2n(C)c1=O,4.169,1
1300,1300,2935,CC1=C(C(=O)OC(C)C)C(c2ccco2)NC(=O)N1,40.8,1
1069,1069,1798,CCCn1cc2c(nc(NC(=O)Nc3ccc(Cl)cc3)n3nc(-c4ccco4)nc23)n1,76.0,1
1826,1826,358,CCCn1c(=O)c2[nH]c(-c3cc(OCc4nc5cc(C(F)(F)F)ccc5[nH]4)nn3C)nc2n(CCC)c1=O,8.1,1
1606,1606,2691,CCCn1c(=O)c2[nH]c(-c3cnn(CC4CC(=O)N(c5cccc(OC(F)(F)F)c5)C4)c3)nc2n(CC)c1=O,17.5,1
157,157,1117,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,5180.0,0
1797,1797,2717,CCCn1c(=O)c2[nH]c(-c3ccc(OC(CC)C(=O)Nc4ccccc4)cc3)cc2n(CCC)c1=O,9.772,1
376,376,333,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,1270.0,0
1706,1706,2806,CCCn1c(=O)c2[nH]c(-c3cnn(CC#Cc4cccc(OC(F)(F)F)c4)c3)nc2n(CCC)c1=O,13.0,1
1934,1934,2260,CCCCn1c(=O)[nH]c2[nH]c(-c3ccc(OCC(=O)N4CCN(CC)CC4)cc3)nc2c1=O,5.5,1
923,923,2464,CCCCn1c(=O)c2c(nc3n2CCCN3CCc2ccc(O)cc2)n(CCCC)c1=O,131.0,0
501,501,207,CCOC(=O)C1=C(C)Nc2ncnn2C1c1ccsc1,699.2,0
784,784,762,CCCn1c(=O)c2nc(-c3ccc(OCc4nc(-c5ccc(F)cc5)no4)cc3)[nH]c2n(CCC)c1=O,215.0,0
1018,1018,2862,Cn1cc2c(nc(N)n3nc(-c4ccco4)nc23)n1,90.0,1
289,289,901,CCCn1c(=O)c2nc(-c3cc(NC(=O)CCCN)nn3C)[nH]c2n(CCC)c1=O.Cl,2065.0,0
194,194,2822,C#CCn1c(=O)c2c(ncn2C)n(C)c1=O,4130.0,0
2072,2072,225,Cn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(Br)cc4)cc3)cc2n(C)c1=O,2.63,1
262,262,1358,CNC(=O)c1cnc(NCc2ccc(OC)c(OC)c2)n2nc(-c3ccco3)nc12,2490.0,0
1682,1682,2226,CCOC(=O)C1=C(C(F)(F)F)Nc2nc3ccccc3n2[C@@H]1c1ccoc1,13.75,1
50,50,1354,Cn1c(=O)c2c(ncn2C)n(C)c1=O,10400.0,0
339,339,197,Cn1c(=O)c2c(cc(-c3ccccc3)n2O)n(C)c1=O,1660.0,0
1775,1775,398,CCCn1c(=O)c2[nH]c(-c3cnn(CC(=O)N4CCN(c5ccc(F)cc5F)CC4)c3)nc2n(CCC)c1=O,10.7,1
2215,2215,2916,CC(=O)NCCNc1nc(-c2ccccc2)nc2[nH]c(C(=O)N3CCN(CCCc4ccccc4)CC3)cc12,0.5,1
2164,2164,1569,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)NCCO)cc3)cc2n(C)c1=O,1.2,1
159,159,2372,CC(C)(NC(=O)COc1ccc2[nH]c(=O)c(-c3nccs3)c(CCC(F)(F)F)c2c1)c1ccccc1,5155.0,0
1429,1429,640,CCCn1c(=O)c2nc(-c3cc(NC(=O)Cc4ccc(Cl)cc4)nn3C)[nH]c2n(CCC)c1=O,28.0,1
2041,2041,2153,CCCn1c(=O)c2[nH]c(-c3ccc(OC(C)C(=O)Nc4ccc(F)cc4)cc3)cc2n(CCC)c1=O,3.236,1
1425,1425,90,CCCn1c(=O)c2nc(-c3cnn(Cc4ccccc4F)c3)[nH]c2n(CCC)c1=O,28.0,1
606,606,2914,Nc1nc(-c2ccco2)c2nnn(Cc3ccc([N+](=O)[O-])cc3)c2n1,440.0,0
2193,2193,2563,CCCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)N4CCN(Cc5ccc(C)cc5)CC4)cc3)[nH]c2c1=O,0.858,1
2137,2137,1311,CCCn1c(=O)[nH]c2nc(-c3cnn(CC#Cc4ccc(F)cc4)c3)[nH]c2c1=O,1.6,1
1385,1385,2123,CCCn1c(=O)c2nc(-c3cc(OCC(=O)Nc4ccc(C(=O)OCC)cc4)nn3C)[nH]c2n(CCC)c1=O,32.0,1
1774,1774,1811,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(OC)nc4)cc3)cc2n(CCC)c1=O,10.72,1
485,485,1421,CCOC(=O)C1=C(C(F)(F)F)Nc2nc3ccccc3n2C1c1ccco1,731.0,0
210,210,792,CCCn1c(=O)c2nc(-c3ccc(OCc4noc(-c5ccc(Cl)cc5)n4)cc3)[nH]c2n(CCC)c1=O,3660.0,0
1870,1870,2074,CCCn1c(=O)[nH]c2nc(-c3cnn(Cc4noc(-c5ccc(Cl)cc5)n4)c3)[nH]c2c1=O,7.0,1
1439,1439,799,CCCn1c(=O)c2[nH]c(-c3ccc(OCC(=O)Nc4ccc(OC)cc4)cc3)c(Cl)c2n(CCC)c1=O,27.54,1
68,68,2951,CC(C)(C)Cn1cc2c(Cl)nc(NC(=O)c3ccccc3)nc2n1,10000.0,0
490,490,2032,Cn1c(Br)nc2c(N)ncnc21,720.0,0
1380,1380,491,Cn1c(=O)c2c(nc(Cc3ccco3)n2C)n(Cc2ccco2)c1=O,32.36,1
